Name,Date,Tags
논문 스터디,"February 17, 2022",멘토링
논문 스터디,"February 10, 2022",멘토링
DL Basic,"February 7, 2022 → February 11, 2022","LV1, U"
논문 스터디,"February 24, 2022",멘토링
AI 서비스 기초,"February 14, 2022 → February 18, 2022","LV1, U"
논문 스터디,"March 3, 2022",멘토링
Image Classification,"February 21, 2022 → March 4, 2022","LV1, P"
Data Viz.,"February 3, 2022 → February 11, 2022","LV1, U"
